name,honor,class,LWHonor,standing,rank,rankProgress,RP
Grumgel,100181,HUNTER,141718,1002,5,0.11372549086809,15569
Nightbladel,99720,ROGUE,113937,1272,3,0.5607843468897,7804
Aisummer,99066,PALADIN,315691,222,8,0.25490197585896,31275
Bllizard,99018,MAGE,15417,3293,3,0.094117652624846,5471
Octyy,98099,WARLOCK,72277,1791,3,0.81568632274866,9079
Ticksnleechs,98067,WARLOCK,452648,131,7,0.61960787978023,28099
Xiaojiayi,97553,MAGE,1327,5274,3,0.25490197585896,6275
Ztob,97501,ROGUE,303386,233,5,0.90196083765477,19510
Rubberduff,97169,PALADIN,52794,2120,4,0.67058827495202,13353
Fiveflux,97152,WARLOCK,76819,1729,5,0.64313729293644,18216
Qiangqiangms,95932,PRIEST,22640,2995,8,0.23921570042148,31197
Innerpeace,95791,WARRIOR,55905,2060,6,0.4235294368118,22118
Imonfire,95613,MAGE,156827,890,7,0.51764708943665,27589
Kwy,95092,MAGE,122672,1170,6,0.81176475388929,24059
Newyock,94791,HUNTER,114562,1265,3,0.43137257453054,7157
Alextrasza,94545,WARRIOR,41971,2371,5,0.60784317320213,18040
Axbxcxdx,94492,MAGE,233069,389,9,0.19215687410906,35961
Jenifer,94040,MAGE,226400,424,5,0.27843138901517,16393
Banjo,93658,HUNTER,245399,334,9,0.28235295787454,36412
Ellenpoe,93529,WARLOCK,232230,395,8,0.84705887362361,34236
Hongjun,93452,PALADIN,102065,1393,7,0.91764711309224,29589
Michaelm,92981,PRIEST,233713,388,7,0.5607843468897,27804
Sksanshao,92745,WARRIOR,179194,736,7,0.76470592757687,28824
Imikool,92566,ROGUE,166082,828,8,0.29803923331201,31491
Sibelius,91888,WARRIOR,114084,1270,6,0.050980395171791,20255
Ej,90947,ROGUE,367704,182,4,0.34117649076507,11706
Bannanas,90853,MAGE,44767,2299,3,0.60784317320213,8040
Foeawesome,90436,MAGE,66996,1871,3,0.9725490771234,9863
Seducer,89915,WARLOCK,91095,1536,8,0.14509804779664,30726
Arcfly,89594,HUNTER,49219,2192,3,0.63529413938522,8177
Zerozerich,89565,WARRIOR,111545,1299,4,0.10588235920295,10530
Uugz,89520,ROGUE,43999,2320,5,0.85882358020172,19295
Ardley,89465,WARRIOR,22116,3013,7,0.28627452673391,26432
Meirener,89107,MAGE,61602,1967,3,0.54117650259286,7706
Playshelly,88989,ROGUE,245635,333,4,0.70588239468634,13530
Sevenbbs,88424,MAGE,107227,1339,3,0.17647059867159,5883
Zverek,88030,DRUID,129671,1100,5,0.44705884996802,17236
Chinalieshen,88030,HUNTER,226798,421,4,0.63137258635834,13157
Fengsaosao,87861,ROGUE,109241,1320,3,0.35294119734317,6765
Sixge,87741,HUNTER,4440,4155,5,0.45098041882738,17255
Oldwer,87088,PALADIN,3965,4212,5,0.15686275437474,15785
Goldpants,86946,MAGE,255667,310,9,0.34509805962443,36726
Wdgaf,86313,WARRIOR,40768,2402,6,0.066666670609266,20334
Hafsteinn,85883,PALADIN,16320,3248,7,0.035294119734317,25177
Wipplol,85445,HUNTER,124654,1138,6,0.6117647420615,23059
Cateblanchet,85135,MAGE,259347,300,10,0.18431373639032,40922
Nicholastse,85101,HUNTER,21959,3022,3,0.17647059867159,5883
Shenbzhi,84569,WARRIOR,113184,1279,7,0.90588240651414,29530
Malcador,84140,WARRIOR,49842,2181,6,0.25882354471833,21295
Berto,84099,MAGE,133537,1067,7,0.80392161617056,29020
Metaform,83912,DRUID,240494,349,5,0.77254906529561,18863
Feigedebtlr,83562,HUNTER,44770,2298,6,0.67058827495202,23353
Rickjb,83482,PALADIN,180881,728,6,0.99215692142025,24961
Frizzo,83412,MAGE,85573,1606,6,0.52941179601476,22648
Usiel,83375,MAGE,122909,1167,7,0.7490196521394,28746
Cntntss,83164,WARLOCK,170057,797,3,0.43921571224928,7197
Renstar,82898,HUNTER,143597,994,6,0.90196083765477,24510
Dgoss,82722,PALADIN,101550,1407,6,0.83137259818614,24157
Auras,82459,WARLOCK,120423,1197,9,0.02745098201558,35138
Rongbips,82265,MAGE,120710,1192,6,0.31372550874949,21569
Rabate,81817,PRIEST,79897,1682,5,0.35294119734317,16765
Melreas,81128,DRUID,237894,364,6,0.10196079034358,20510
Puhdistaja,80333,PALADIN,114611,1264,6,0.55686277803034,22785
Gunster,80152,HUNTER,114398,1268,7,0.89803922176361,29491
Nimeimei,80097,PRIEST,80212,1678,5,0.8235294604674,19118
Clav,80041,HUNTER,134473,1059,4,0.80000004731119,14001
Lostfire,79770,MAGE,41079,2396,5,0.81960789160803,19099
Dotsfearrip,79621,WARLOCK,201511,618,7,0.29019609559327,26451
Alabaster,79203,MAGE,178972,738,5,0.88235299335793,19412
Nidayer,78710,MAGE,128120,1111,5,0.83921573590487,19197
Shyflower,78642,MAGE,144248,987,4,0.76470592757687,13824
Lemonzz,78130,HUNTER,2081,4738,2,0.65490199951455,3965
Itsme,77674,HUNTER,147024,967,8,0.32156864646822,31608
Lightwrath,77495,HUNTER,225967,427,4,0.90196083765477,14510
Gankxx,77293,WARRIOR,144481,986,4,0.2745098201558,11373
Beijinren,77288,HUNTER,566,0,1,0.85882358020172,0
Mahir,76687,ROGUE,87947,1575,3,0.32156864646822,6608
Gog,76349,HUNTER,198093,641,6,0.67450984381139,23373
Xiaodizhu,75862,DRUID,303836,231,6,0.094117652624846,20471
