name,honor,class,LWHonor,standing,rank,rankProgress,RP
Callmedavid,12707,ROGUE,132967,1271,5,0.65882356837392,18295
Filitz,1021,PALADIN,7785,4387,11,0.13333334121853,45667
Sorrybabe,7206,PALADIN,106697,1630,5,0.75686278985813,18785
Jiuin,497,WARRIOR,2029,5302,1,0.54117650259286,0
Fredperry,6676,WARRIOR,230823,417,8,0.023529413156211,30118
Sunbro,15566,PALADIN,132155,1281,4,0.85098044248298,14255
Hunakahuna,11308,WARRIOR,333210,215,10,0,40000
Spotlight,373,PRIEST,255,7807,1,0.078431377187371,0
Shengna,7538,HUNTER,67322,2268,5,0.10980392806232,15550
Amtf,6652,HUNTER,167479,920,6,0.19607844296843,20981
Zhuanghui,8209,HUNTER,58690,2453,4,0.050980395171791,10255
Sazzi,1212,PRIEST,227750,440,4,0.45882355654612,12295
Abbazabazoom,211,WARLOCK,174,0,5,0.38431374821812,16922
Valdor,522,WARRIOR,905,6255,1,0.5490196403116,0
Bosbbs,2498,WARRIOR,160867,974,4,0.18039216753095,10902
Rolandculay,124,HUNTER,3345,4957,3,0.29803923331201,6491
Jindo,1061,PRIEST,5956,4591,9,0,35000
Pime,7973,WARLOCK,151780,1064,7,0.24313726928085,26216
Tralli,4285,MAGE,26673,3395,3,0.37647061049938,6883
Anetta,4626,WARRIOR,244324,357,8,0.20784314954653,31040
Evolutions,10806,WARRIOR,35267,3106,4,0.83921573590487,14197
Yulf,5014,ROGUE,105666,1648,3,0.34509805962443,6726
Monaii,9351,ROGUE,264880,316,7,0.02745098201558,25138
Daedale,14662,DRUID,148378,1093,6,0.28235295787454,21412
Schmecko,37555,WARRIOR,354507,199,9,0.96470593940467,39824
Sgfeishi,4349,MAGE,107204,1617,5,0.14117647893727,15706
Dexty,7959,WARRIOR,25567,3435,3,0.14901961665601,5746
Dx,1009,PALADIN,181205,812,5,0.49411767628044,17471
Snakke,7960,WARRIOR,51105,2634,4,0.4862745385617,12432
Darksyfo,7987,WARRIOR,75974,2119,5,0.22352942498401,16118
Trickster,751,HUNTER,152398,1058,6,0.54509807145223,22726
Lexea,8444,WARRIOR,236276,384,6,0.25882354471833,21295
Roushang,8250,WARRIOR,151980,1063,8,0.062745101749897,0
Clr,29670,HUNTER,632514,69,7,0.87058828677982,29353
Speeder,24460,WARLOCK,402431,165,5,0.08235294604674,15412
Gazze,3208,WARRIOR,144096,1139,7,0.14509804779664,0
Addices,24823,MAGE,226259,451,7,0.4235294368118,27118
Needamedic,7451,WARLOCK,40656,2913,2,0.86274514906108,4589
Donthate,262,WARLOCK,46655,2732,5,0.94509809510782,19726
Djseppelx,176,MAGE,41065,2896,10,0.60392160434276,43020
Fatherchaser,589,PRIEST,3679,4903,1,0.89019613107666,0
Chaph,3046,WARRIOR,12801,4017,4,0.85882358020172,14295
Parla,985,PRIEST,4068,4843,7,0.53725493373349,27687
Kissrain,2473,MAGE,1400,5709,5,0.74117651442066,18706
Shadow,176,WARRIOR,348,0,4,0.36078433506191,11804
Moandor,2387,MAGE,75118,2132,6,0.38431374821812,21922
Clize,28584,HUNTER,480361,116,6,0.66274513723329,23314
Dustgg,21966,HUNTER,160955,971,3,0.79607847845182,8981
She,2985,HUNTER,283,0,7,0.33333335304633,26667
Aicuozi,234,WARRIOR,43,0,4,0.18039216753095,10902
Yilz,3616,WARLOCK,139133,1196,6,0.39215688593686,21961
Raistling,422,MAGE,0,0,0,0,0
Superme,16469,MAGE,103228,1680,6,0.95294123282656,24765
Moonshell,2603,ROGUE,2515,5132,2,0.56862748460844,3706
Riled,9157,MAGE,62018,2376,6,0.64313729293644,23216
Angelbaba,17509,HUNTER,20443,3637,2,0.26274511357769,2789
Zadniyprivod,4647,PRIEST,0,0,3,0.98823535256088,9942
Oggep,988,WARRIOR,6043,4584,4,0.35294119734317,11765
Jielan,1539,HUNTER,5813,4617,2,0.90980397537351,4730
Daarkness,13070,WARLOCK,75782,2121,5,0.98039221484214,19902
Mua,4364,PRIEST,140039,1188,4,0.58431376004592,12922
Latias,10798,DRUID,1063,6036,1,0.4862745385617,0
